score,data_group,lender
0.777764734,test,all
0.764023934,test,usbank
0.825553481,test,wells
0.730438931,test,quicken
0.776003757,blind,all
0.758414361,blind,usbank
0.823419579,blind,wells
0.730438931,blind,quicken
0.769161135,female,all
0.74447101,female,usbank
0.803416955,female,wells
0.754056795,female,quicken
0.795877426,male,all
0.780965602,male,usbank
0.835006274,male,wells
0.733299075,male,quicken
0.765182186,asian,all
0.752688172,asian,usbank
0.801251956,asian,wells
0.732824427,asian,quicken
0.651884701,black,all
0.61409396,black,usbank
0.693965517,black,wells
0.692857143,black,quicken
0.79625921,white,all
0.779153534,white,usbank
0.832905084,white,wells
0.738075137,white,quicken